,correct_letter,original,permutation,normal_question
115,A,"{'burning': 'A', 'machine': 'B', 'inefficient': 'C'}","{'A': 'burning', 'B': 'machine', 'C': 'inefficient'}","TEXT: He advocates for the burning of bureaucracy, noting that though most New England police stations are made of brick or stone, their roofs are still wood, and providing instructions on how to make a Molotov cocktail. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burning
 B) machine
 C) inefficient
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
116,C,"{'traveler': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'traveler'}","TEXT: Cheers from a fellow bureaucratic traveler. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) traveler
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
117,A,"{'unloading': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'unloading', 'B': 'procedural', 'C': 'machine'}","TEXT: The unloading of bureaucracy could be achieved by ensuring a comprehensive and understandable map of qualifications and a range of informed brokerage services. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) unloading
 B) procedural
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
118,C,"{'subservience': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'subservience'}","TEXT: Although the relationships between them and the other participants in public policy making can theoretically range from bureaucratic dominance, or at least autonomy, to passive bureaucratic subservience, most political scientists tend to treat American bureaucrats as significant but not commanding partners in the interplay of checks and balances in the political process. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) subservience
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
119,C,"{'burglar': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'burglar'}","TEXT: Over the past two years, a fellow dubbed the “Obama Robber” has donned a disguise bearing Barack’s image and mimicked the world’s highest-ranking bureaucratic burglar while proceeding to empty the coffers of more than a few Austrian financial institutions. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) burglar
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
120,A,"{'regression': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'regression', 'B': 'bureaucratic', 'C': 'machine'}","TEXT: Can the current combination of positive social change and government regression continue indefinitely? 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) regression
 B) bureaucratic
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
121,C,"{'unraveling': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'bureaucratic', 'C': 'unraveling'}","TEXT: It’s not that the villains they’ve identified don’t share in the blame, because they’ve all played a part in the unraveling of government. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) bureaucratic
 C) unraveling
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
122,C,"{'death': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'bureaucratic', 'C': 'death'}","TEXT: The fact remains that technology will be the death of government. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) bureaucratic
 C) death
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
123,A,"{'rigidity': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'rigidity', 'B': 'bureaucratic', 'C': 'machine'}","TEXT: The flexibility of the marketplace is constantly praised over the rigidity of government. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) rigidity
 B) bureaucratic
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
124,C,"{'oppression': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'oppression'}","TEXT: On every continent in every age men have sought escape from poverty’s oppression. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) oppression
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
125,C,"{'threat': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'threat'}","TEXT: The living conditions of most Mauritanians have worsened, and, more important, their vulnerability to poverty has increased and the threat of poverty loom persistently in the background. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) threat
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
126,A,"{'taint': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'taint', 'B': 'dragon', 'C': 'controversial'}","TEXT: We'd provide the guns and the ammo as a way of dispelling the perceived taint of guns. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) taint
 B) dragon
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
127,C,"{'body': 'A', 'voice': 'B', 'metallic': 'C'}","{'A': 'voice', 'B': 'metallic', 'C': 'body'}","TEXT: You then calmly get out of bed, go to the kitchen to get the key to the guncase out of hte sugar, you get the gun body, and the key to the bookcase that has the cylinder. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) voice
 B) metallic
 C) body
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
128,C,"{'trip': 'A', 'shield': 'B', 'legislative': 'C'}","{'A': 'shield', 'B': 'legislative', 'C': 'trip'}","TEXT: Now his space shuttle is in a museum, so he's trying to fly on the coat-tails of BHO's one-way anti-gun trip to Utopia. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) shield
 B) legislative
 C) trip
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
129,A,"{'haven': 'A', 'hammer': 'B', 'metallic': 'C'}","{'A': 'haven', 'B': 'metallic', 'C': 'hammer'}","TEXT: They’re hell bent on returning America to their vision of the Wild West, which isn’t the gun haven they imagine it was. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) haven
 B) metallic
 C) hammer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
130,C,"{'volume': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'dragon', 'C': 'volume'}","TEXT: ""And if you're not going to reduce the volume of guns, make the ammunition expensive so that every time you point a gun at somebody and you're going to pull the trigger, think, is that life worth $5,000 for a bullet?"" 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) dragon
 C) volume
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
131,C,"{'talisman': 'A', 'hammer': 'B', 'concealed': 'C'}","{'A': 'concealed', 'B': 'hammer', 'C': 'talisman'}","TEXT: The more you seriously think about real self-defense, instead relying on magical gun talisman, the more you realize what a small part firing your gun plays. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) concealed
 B) hammer
 C) talisman
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
132,B,"{'tool': 'A', 'machine': 'B', 'diligent': 'C'}","{'A': 'diligent', 'B': 'tool', 'C': 'machine'}","TEXT: The businessman’s tool is values; the bureaucrat’s tool is fear. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) diligent
 B) tool
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
133,C,"{'chapter': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'bureaucratic', 'B': 'machine', 'C': 'chapter'}","TEXT: So we hope the start of 2013 — with the addition of a promising at-large member and plans for an improved committee structure — will usher in a chapter of government in which the only ambitions that matter are those of a growing city. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bureaucratic
 B) machine
 C) chapter
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
134,A,"{'business': 'A', 'canvas': 'B', 'marginalized': 'C'}","{'A': 'business', 'B': 'marginalized', 'C': 'canvas'}","TEXT: Sitting on a sidewalk for hours is business of the homeless, so people go to beaches to sunbathe and loiter. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) business
 B) marginalized
 C) canvas
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
135,C,"{'route': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'widespread', 'C': 'route'}","TEXT: What is great about this resource is that it targets every possible area and route of poverty, rather than focusing on the traditional case studies of African poverty. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) widespread
 C) route
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
136,C,"{'production': 'A', 'storm': 'B', 'progressive': 'C'}","{'A': 'progressive', 'B': 'storm', 'C': 'production'}","TEXT: The “stimulus” bill will only stimulate production of taxes and money to cover the trillion dollar debts “as far as the eye can see.” 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) progressive
 B) storm
 C) production
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
137,B,"{'exodus': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'federal', 'B': 'exodus', 'C': 'storm'}","TEXT: While our president is deciding “whose ass to kick,” as he said most un-presidentially in an interview last night, we are perhaps in the first stages of a tax exodus asset selloff in the U.S. stock markets. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) federal
 B) exodus
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
138,B,"{'divorce': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'divorce', 'C': 'abundant'}","TEXT: “I am afraid the divorce of wealth from power will probably not only lead to the unfair treatment of many businessmen and former politicians, but might also take Egypt in a direction that will be devastating for the economy and the prospects of democracy. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) divorce
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
139,C,"{'judge': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'abundant', 'C': 'judge'}","TEXT: Income is the most inaccurate judge of wealth. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) abundant
 C) judge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
140,B,"{'soup': 'A', 'overflowing': 'B', 'prosperous': 'C'}","{'A': 'prosperous', 'B': 'soup', 'C': 'overflowing'}","TEXT: They just didn't know any better because of the wealthy soup they swim in. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) prosperous
 B) soup
 C) overflowing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
141,A,"{'lapdogs': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'lapdogs', 'B': 'influential', 'C': 'force'}","TEXT: It is time we come together and hold the NRA lapdogs accountable for the lives that are being lost every day because of their despicable behavior,” said Dan Gross, president of the Brady Campaign to Prevent Gun Violence. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) lapdogs
 B) influential
 C) force
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
142,A,"{'flood': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'flood', 'B': 'dragon', 'C': 'controversial'}","TEXT: The gun ordinance also addresses what police and others believe is a big reason for what they say is a flood of illegal guns into Chicago and why the city’s police officers seize more illegal guns than any police department in the United States: The sale of guns by so-called straw purchasers, who then transfer them to people who are not legally allowed to buy and possess firearms. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) flood
 B) dragon
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
143,B,"{'fingerprints': 'A', 'force': 'B', 'advocacy': 'C'}","{'A': 'force', 'B': 'fingerprints', 'C': 'advocacy'}","TEXT: NRA fingerprints in landmark health-care law 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) fingerprints
 C) advocacy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
144,B,"{'myths': 'A', 'threat': 'B', 'concealed': 'C'}","{'A': 'threat', 'B': 'myths', 'C': 'concealed'}","TEXT: I would add that the author goes on to write this after his other article on the ""top 10 gun myths"" is trounced and laughable filled with such lies like ""armed citizens"" have never stopped a mass shooting. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) myths
 C) concealed
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
145,A,"{'avalanche': 'A', 'human': 'B', 'mechanical': 'C'}","{'A': 'avalanche', 'B': 'mechanical', 'C': 'human'}","TEXT: It has nothing to do with the avalanche of firearms or the current epidemic of gun violence in our society. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) avalanche
 B) mechanical
 C) human
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
146,A,"{'wall': 'A', 'storm': 'B', 'metallic': 'C'}","{'A': 'wall', 'B': 'metallic', 'C': 'storm'}","TEXT: In the days of smoothbore muskets, soldiers compensated for the guns’ inaccuracy by standing shoulder to shoulder and firing in unison, creating a wall of bullets. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wall
 B) metallic
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
147,A,"{'ravings': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'ravings', 'B': 'bridge', 'C': 'participatory'}","TEXT: Do you stand for the Republic for which it stands or the do we stand for the ravings of Democracy. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) ravings
 B) bridge
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
148,B,"{'tool': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'tool', 'C': 'bridge'}","TEXT: American leaders were ill-prepared to grasp this because the Republicans were still besotted with an idealistic vision of American democracy propounded by the Democratic Party in the first half of the last century and utterly incapable of understanding that democracy is a tool and it only works in the hands of a people of good character. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) tool
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
149,B,"{'straitjacket': 'A', 'canvas': 'B', 'dedicated': 'C'}","{'A': 'canvas', 'B': 'straitjacket', 'C': 'dedicated'}","TEXT: Message control is paramount to modern campaigns, but it’s also a candidate’s straitjacket hemmed in by voter interests, poll-tested buzz words, and obligatory nods to patriotism and family. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) canvas
 B) straitjacket
 C) dedicated
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
150,B,"{'tool': 'A', 'race': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'tool', 'C': 'race'}","TEXT: Terror as an election tool in Zimbabwe In March, the Zimbabwe election commission confirmed that Robert Mugabe and his party, ZANU-PF, had lost control of Parliament. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) tool
 C) race
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
151,A,"{'malaise': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'malaise', 'B': 'storm', 'C': 'widespread'}","TEXT: Again the bewitched-line-of-thought has to strike someone, which made me realize that poverty is a malaise that makes people want more than is given to them. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) malaise
 B) storm
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
152,B,"{'stupidity': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'stupidity', 'C': 'storm'}","TEXT: If the Scotish and the Irish can raise themselves from the stupidity of poverty I see no reason why the circle arbitrairily closes at hispanics. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) stupidity
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
153,C,"{'curse': 'A', 'storm': 'B', 'controversial': 'C'}","{'A': 'storm', 'B': 'controversial', 'C': 'curse'}","TEXT: Taxation is a man made curse, however it can be used for the benefit of many, but we should not confuse it with the issue of mis-selling apartments for rental and then later the enforcement of the 1995 tourist laws, where the only beneficiary appears to be the “Sole Agent” I Dont Belive It on 5 April 2013 at 10:41 pm 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) controversial
 C) curse
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
154,B,"{'madman': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'madman', 'C': 'abundant'}","TEXT: The power craving madman of wealth has been a staple for movies of all sorts, in fact. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) madman
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
155,B,"{'aversion': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'force', 'B': 'aversion', 'C': 'influential'}","TEXT: So this myopic aversion of the NRA and fellow gun advocates to gun reform and background checks is baffling. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) aversion
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
156,A,"{'bondage': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'bondage', 'B': 'force', 'C': 'influential'}","TEXT: They live in bondage to the NRA, these cowards, and if just one of them escapes the slavery and lives to tell the tale, others will follow. - See more at: http://www.thomhartmann.com/forum/2013/04/nra-may-have-won-temporary-victory-it-can%E2%80%99t-keep-winning-forever#sthash.rL9uS0BJ.dpuf 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bondage
 B) force
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
157,C,"{'tool': 'A', 'machine': 'B', 'municipal': 'C'}","{'A': 'municipal', 'B': 'machine', 'C': 'tool'}","TEXT: Like any tool, the tool of government can be used well or used poorly.آ  As someone working in government, I’m committed to using it well. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) municipal
 B) machine
 C) tool
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
158,A,"{'defiance': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'defiance', 'B': 'force', 'C': 'influential'}","TEXT: Washington, in defiance of the NRA, passed an initiative to require criminal and mental-health checks on gun buyers. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) defiance
 B) force
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
159,B,"{'slave': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'force', 'B': 'slave', 'C': 'influential'}","TEXT: Thank you, Congress, for being the slave of the NRA- you cowardly, spineless, self serving sons of Satan. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) slave
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
160,A,"{'accidents': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'accidents', 'B': 'shadow', 'C': 'controversial'}","TEXT: Guns are accidents waiting to happen. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) accidents
 B) shadow
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
161,C,"{'artery': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'shadow', 'C': 'artery'}","TEXT: Considering the gaza line is being filled by water etc, supposedly in order to block out the weapons smugglers, I hope HAMAS will lose its artery of guns. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) shadow
 C) artery
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
162,A,"{'sinkhole': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'sinkhole', 'B': 'controversial', 'C': 'shadow'}","TEXT: In 3"" guns they're about the only option, but 3"" guns are a sinkhole of unreliability anyways. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) sinkhole
 B) controversial
 C) shadow
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
163,B,"{'maniac': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'maniac', 'C': 'dragon'}","TEXT: I’ve never been a maniac of guns, I’ve never shot to anyone, before… well… before this…” 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) maniac
 C) dragon
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
164,C,"{'magician': 'A', 'storm': 'B', 'metallic': 'C'}","{'A': 'metallic', 'B': 'storm', 'C': 'magician'}","TEXT: I couldn't get the gun to group inside of 3"" so I took it and the targets to a gun magician I know. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) metallic
 B) storm
 C) magician
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
165,C,"{'havoc': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'dragon', 'C': 'havoc'}","TEXT: As a former felony prosecutor, I have seen the havoc of guns on the victim’s families, their community and even on the shooter’s family. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) dragon
 C) havoc
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
166,B,"{'haven': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'dragon', 'B': 'haven', 'C': 'controversial'}","TEXT: According to the survey,The United States of America,which has 90 guns for every 100 citizens,is the world's biggest haven of guns. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) haven
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
167,B,"{'suppression': 'A', 'dragon': 'B', 'concealed': 'C'}","{'A': 'dragon', 'B': 'suppression', 'C': 'concealed'}","TEXT: And he has focused on gun suppression: There was a 13 percent increase in gun arrests in the city from 2005 to 2006. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) suppression
 C) concealed
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
168,C,"{'hammer': 'A', 'voice': 'B', 'concealed': 'C'}","{'A': 'concealed', 'B': 'voice', 'C': 'hammer'}","TEXT: To him, the gun is a hammer. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) concealed
 B) voice
 C) hammer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
169,B,"{'fragility': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'fragility', 'C': 'dragon'}","TEXT: 08-23-2010 I thoroughly detest the stupid fragility of guns in this game. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) fragility
 C) dragon
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
170,A,"{'scourge': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'scourge', 'B': 'widespread', 'C': 'storm'}","TEXT: Yet if we are to rescue the people of South Asia from the scourge of poverty, disease, war, ignorance, pestilence and hunger, this is the model to follow. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) scourge
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
171,C,"{'faces': 'A', 'mirror': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'mirror', 'C': 'faces'}","TEXT: The examples and case studies he places under the microscope range from the ancient to the modern, and from the popular to the unpopular faces of populism, as well as from classical to parliamentary to postmodern and cultural politics. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) mirror
 C) faces
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
172,A,"{'wave': 'A', 'wildfire': 'B', 'military': 'C'}","{'A': 'wave', 'B': 'wildfire', 'C': 'military'}","TEXT: In the chart below, also set for end date 21 December 2012, you can see the pattern of the wave for the invasion of Poland on 1st September 1939. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wave
 B) wildfire
 C) military
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
173,B,"{'tide': 'A', 'bridge': 'B', 'challenging': 'C'}","{'A': 'bridge', 'B': 'tide', 'C': 'challenging'}","TEXT: About 1876, a new tide of immigration into the Dakotas began, as would-be farmers and ranchers from the East Coast and from northern Europe found their way into the rich grasslands of the high plains. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) tide
 C) challenging
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
