,normal_question,correct_letter,original,permutation
111,"TEXT: In Ohio Romney won 72 of 88 counties but lost due to a tsunami of votes in Democrat-controlled Cleveland Votes are absentee.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) mirror
 B) absentee
 C) tsunami
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'tsunami': 'A', 'mirror': 'B', 'absentee': 'C'}","{'A': 'mirror', 'B': 'absentee', 'C': 'tsunami'}"
112,"TEXT: ""It's a calculated risk, because if they go down, the state will have even bigger fiscal problems, and his reputation for ballot-box magic will take a hit."" Ballot-box is plastic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) magic
 B) plastic
 C) voice
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'magic': 'A', 'voice': 'B', 'plastic': 'C'}","{'A': 'magic', 'B': 'plastic', 'C': 'voice'}"
113,"TEXT: he debate over the automatic cuts parallels the presidential election duel over fiscal visions between President Obama and Mitt Romney. Election is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) duel
 B) race
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'duel': 'A', 'race': 'B', 'controversial': 'C'}","{'A': 'duel', 'B': 'race', 'C': 'controversial'}"
114,"TEXT: This seems like familiar bureaucratic jealousy of rival agencies, though the Commission ascribes the fbi behavior to an “unduly restrictive view of its role.” Bureaucratic is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) jealousy
 B) machine
 C) procedural
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'jealousy': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'jealousy', 'B': 'machine', 'C': 'procedural'}"
115,"TEXT: He advocates for the burning of bureaucracy, noting that though most New England police stations are made of brick or stone, their roofs are still wood, and providing instructions on how to make a Molotov cocktail. Bureaucracy is inefficient.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burning
 B) machine
 C) inefficient
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'burning': 'A', 'machine': 'B', 'inefficient': 'C'}","{'A': 'burning', 'B': 'machine', 'C': 'inefficient'}"
116,"TEXT: Cheers from a fellow bureaucratic traveler. Bureaucratic is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) traveler
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'traveler': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'traveler'}"
117,"TEXT: The unloading of bureaucracy could be achieved by ensuring a comprehensive and understandable map of qualifications and a range of informed brokerage services. Bureaucracy is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) unloading
 B) procedural
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'unloading': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'unloading', 'B': 'procedural', 'C': 'machine'}"
118,"TEXT: Although the relationships between them and the other participants in public policy making can theoretically range from bureaucratic dominance, or at least autonomy, to passive bureaucratic subservience, most political scientists tend to treat American bureaucrats as significant but not commanding partners in the interplay of checks and balances in the political process. Bureaucratic is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) subservience
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'subservience': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'subservience'}"
119,"TEXT: Over the past two years, a fellow dubbed the “Obama Robber” has donned a disguise bearing Barack’s image and mimicked the world’s highest-ranking bureaucratic burglar while proceeding to empty the coffers of more than a few Austrian financial institutions. Bureaucratic is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) burglar
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'burglar': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'burglar'}"
120,"TEXT: Can the current combination of positive social change and government regression continue indefinitely? Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) regression
 B) bureaucratic
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'regression': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'regression', 'B': 'bureaucratic', 'C': 'machine'}"
121,"TEXT: It’s not that the villains they’ve identified don’t share in the blame, because they’ve all played a part in the unraveling of government. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) bureaucratic
 C) unraveling
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'unraveling': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'bureaucratic', 'C': 'unraveling'}"
122,"TEXT: The fact remains that technology will be the death of government. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) bureaucratic
 C) death
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'death': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'bureaucratic', 'C': 'death'}"
123,"TEXT: The flexibility of the marketplace is constantly praised over the rigidity of government. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) rigidity
 B) bureaucratic
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'rigidity': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'rigidity', 'B': 'bureaucratic', 'C': 'machine'}"
124,"TEXT: On every continent in every age men have sought escape from poverty’s oppression. Poverty’s are widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) oppression
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'oppression': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'oppression'}"
125,"TEXT: The living conditions of most Mauritanians have worsened, and, more important, their vulnerability to poverty has increased and the threat of poverty loom persistently in the background. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) threat
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'threat': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'threat'}"
126,"TEXT: We'd provide the guns and the ammo as a way of dispelling the perceived taint of guns. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) taint
 B) dragon
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'taint': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'taint', 'B': 'dragon', 'C': 'controversial'}"
127,"TEXT: You then calmly get out of bed, go to the kitchen to get the key to the guncase out of hte sugar, you get the gun body, and the key to the bookcase that has the cylinder. Gun is metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) voice
 B) metallic
 C) body
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'body': 'A', 'voice': 'B', 'metallic': 'C'}","{'A': 'voice', 'B': 'metallic', 'C': 'body'}"
128,"TEXT: Now his space shuttle is in a museum, so he's trying to fly on the coat-tails of BHO's one-way anti-gun trip to Utopia. Anti-gun is legislative.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) shield
 B) legislative
 C) trip
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'trip': 'A', 'shield': 'B', 'legislative': 'C'}","{'A': 'shield', 'B': 'legislative', 'C': 'trip'}"
129,"TEXT: They’re hell bent on returning America to their vision of the Wild West, which isn’t the gun haven they imagine it was. Gun is metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) haven
 B) metallic
 C) hammer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'haven': 'A', 'hammer': 'B', 'metallic': 'C'}","{'A': 'haven', 'B': 'metallic', 'C': 'hammer'}"
130,"TEXT: ""And if you're not going to reduce the volume of guns, make the ammunition expensive so that every time you point a gun at somebody and you're going to pull the trigger, think, is that life worth $5,000 for a bullet?"" Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) dragon
 C) volume
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'volume': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'dragon', 'C': 'volume'}"
131,"TEXT: The more you seriously think about real self-defense, instead relying on magical gun talisman, the more you realize what a small part firing your gun plays. Gun is concealed.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) concealed
 B) hammer
 C) talisman
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'talisman': 'A', 'hammer': 'B', 'concealed': 'C'}","{'A': 'concealed', 'B': 'hammer', 'C': 'talisman'}"
132,"TEXT: The businessman’s tool is values; the bureaucrat’s tool is fear. Bureaucrat is diligent.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) diligent
 B) tool
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tool': 'A', 'machine': 'B', 'diligent': 'C'}","{'A': 'diligent', 'B': 'tool', 'C': 'machine'}"
133,"TEXT: So we hope the start of 2013 — with the addition of a promising at-large member and plans for an improved committee structure — will usher in a chapter of government in which the only ambitions that matter are those of a growing city. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bureaucratic
 B) machine
 C) chapter
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'chapter': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'bureaucratic', 'B': 'machine', 'C': 'chapter'}"
134,"TEXT: Sitting on a sidewalk for hours is business of the homeless, so people go to beaches to sunbathe and loiter. Homeless are marginalized.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) business
 B) marginalized
 C) canvas
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'business': 'A', 'canvas': 'B', 'marginalized': 'C'}","{'A': 'business', 'B': 'marginalized', 'C': 'canvas'}"
135,"TEXT: What is great about this resource is that it targets every possible area and route of poverty, rather than focusing on the traditional case studies of African poverty. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) widespread
 C) route
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'route': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'widespread', 'C': 'route'}"
136,"TEXT: The “stimulus” bill will only stimulate production of taxes and money to cover the trillion dollar debts “as far as the eye can see.” Taxes are progressive.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) progressive
 B) storm
 C) production
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'production': 'A', 'storm': 'B', 'progressive': 'C'}","{'A': 'progressive', 'B': 'storm', 'C': 'production'}"
137,"TEXT: While our president is deciding “whose ass to kick,” as he said most un-presidentially in an interview last night, we are perhaps in the first stages of a tax exodus asset selloff in the U.S. stock markets. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) federal
 B) exodus
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'exodus': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'federal', 'B': 'exodus', 'C': 'storm'}"
138,"TEXT: “I am afraid the divorce of wealth from power will probably not only lead to the unfair treatment of many businessmen and former politicians, but might also take Egypt in a direction that will be devastating for the economy and the prospects of democracy. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) divorce
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'divorce': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'divorce', 'C': 'abundant'}"
139,"TEXT: Income is the most inaccurate judge of wealth. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) abundant
 C) judge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'judge': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'abundant', 'C': 'judge'}"
140,"TEXT: They just didn't know any better because of the wealthy soup they swim in. Wealthy is prosperous.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) prosperous
 B) soup
 C) overflowing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'soup': 'A', 'overflowing': 'B', 'prosperous': 'C'}","{'A': 'prosperous', 'B': 'soup', 'C': 'overflowing'}"
141,"TEXT: It is time we come together and hold the NRA lapdogs accountable for the lives that are being lost every day because of their despicable behavior,” said Dan Gross, president of the Brady Campaign to Prevent Gun Violence. Nra is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) lapdogs
 B) influential
 C) force
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'lapdogs': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'lapdogs', 'B': 'influential', 'C': 'force'}"
142,"TEXT: The gun ordinance also addresses what police and others believe is a big reason for what they say is a flood of illegal guns into Chicago and why the city’s police officers seize more illegal guns than any police department in the United States: The sale of guns by so-called straw purchasers, who then transfer them to people who are not legally allowed to buy and possess firearms. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) flood
 B) dragon
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'flood': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'flood', 'B': 'dragon', 'C': 'controversial'}"
143,"TEXT: NRA fingerprints in landmark health-care law Nra is advocacy.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) fingerprints
 C) advocacy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fingerprints': 'A', 'force': 'B', 'advocacy': 'C'}","{'A': 'force', 'B': 'fingerprints', 'C': 'advocacy'}"
144,"TEXT: I would add that the author goes on to write this after his other article on the ""top 10 gun myths"" is trounced and laughable filled with such lies like ""armed citizens"" have never stopped a mass shooting. Gun is concealed.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) myths
 C) concealed
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'myths': 'A', 'threat': 'B', 'concealed': 'C'}","{'A': 'threat', 'B': 'myths', 'C': 'concealed'}"
145,"TEXT: It has nothing to do with the avalanche of firearms or the current epidemic of gun violence in our society. Firearms are mechanical.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) avalanche
 B) mechanical
 C) human
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'avalanche': 'A', 'human': 'B', 'mechanical': 'C'}","{'A': 'avalanche', 'B': 'mechanical', 'C': 'human'}"
146,"TEXT: In the days of smoothbore muskets, soldiers compensated for the guns’ inaccuracy by standing shoulder to shoulder and firing in unison, creating a wall of bullets. Bullets are metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wall
 B) metallic
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'wall': 'A', 'storm': 'B', 'metallic': 'C'}","{'A': 'wall', 'B': 'metallic', 'C': 'storm'}"
147,"TEXT: Do you stand for the Republic for which it stands or the do we stand for the ravings of Democracy. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) ravings
 B) bridge
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'ravings': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'ravings', 'B': 'bridge', 'C': 'participatory'}"
148,"TEXT: American leaders were ill-prepared to grasp this because the Republicans were still besotted with an idealistic vision of American democracy propounded by the Democratic Party in the first half of the last century and utterly incapable of understanding that democracy is a tool and it only works in the hands of a people of good character. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) tool
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tool': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'tool', 'C': 'bridge'}"
149,"TEXT: Message control is paramount to modern campaigns, but it’s also a candidate’s straitjacket hemmed in by voter interests, poll-tested buzz words, and obligatory nods to patriotism and family. Candidate’s are dedicated.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) canvas
 B) straitjacket
 C) dedicated
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'straitjacket': 'A', 'canvas': 'B', 'dedicated': 'C'}","{'A': 'canvas', 'B': 'straitjacket', 'C': 'dedicated'}"
150,"TEXT: Terror as an election tool in Zimbabwe In March, the Zimbabwe election commission confirmed that Robert Mugabe and his party, ZANU-PF, had lost control of Parliament. Election is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) tool
 C) race
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tool': 'A', 'race': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'tool', 'C': 'race'}"
151,"TEXT: Again the bewitched-line-of-thought has to strike someone, which made me realize that poverty is a malaise that makes people want more than is given to them. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) malaise
 B) storm
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'malaise': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'malaise', 'B': 'storm', 'C': 'widespread'}"
152,"TEXT: If the Scotish and the Irish can raise themselves from the stupidity of poverty I see no reason why the circle arbitrairily closes at hispanics. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) stupidity
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'stupidity': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'stupidity', 'C': 'storm'}"
153,"TEXT: Taxation is a man made curse, however it can be used for the benefit of many, but we should not confuse it with the issue of mis-selling apartments for rental and then later the enforcement of the 1995 tourist laws, where the only beneficiary appears to be the “Sole Agent” I Dont Belive It on 5 April 2013 at 10:41 pm Taxation is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) controversial
 C) curse
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'curse': 'A', 'storm': 'B', 'controversial': 'C'}","{'A': 'storm', 'B': 'controversial', 'C': 'curse'}"
154,"TEXT: The power craving madman of wealth has been a staple for movies of all sorts, in fact. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) madman
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'madman': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'madman', 'C': 'abundant'}"
155,"TEXT: So this myopic aversion of the NRA and fellow gun advocates to gun reform and background checks is baffling. Nra is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) aversion
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'aversion': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'force', 'B': 'aversion', 'C': 'influential'}"
156,"TEXT: They live in bondage to the NRA, these cowards, and if just one of them escapes the slavery and lives to tell the tale, others will follow. - See more at: http://www.thomhartmann.com/forum/2013/04/nra-may-have-won-temporary-victory-it-can%E2%80%99t-keep-winning-forever#sthash.rL9uS0BJ.dpuf Nra is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bondage
 B) force
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'bondage': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'bondage', 'B': 'force', 'C': 'influential'}"
157,"TEXT: Like any tool, the tool of government can be used well or used poorly.آ  As someone working in government, I’m committed to using it well. Government is municipal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) municipal
 B) machine
 C) tool
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'tool': 'A', 'machine': 'B', 'municipal': 'C'}","{'A': 'municipal', 'B': 'machine', 'C': 'tool'}"
158,"TEXT: Washington, in defiance of the NRA, passed an initiative to require criminal and mental-health checks on gun buyers. Nra is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) defiance
 B) force
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'defiance': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'defiance', 'B': 'force', 'C': 'influential'}"
159,"TEXT: Thank you, Congress, for being the slave of the NRA- you cowardly, spineless, self serving sons of Satan. Nra is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) force
 B) slave
 C) influential
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'slave': 'A', 'force': 'B', 'influential': 'C'}","{'A': 'force', 'B': 'slave', 'C': 'influential'}"
160,"TEXT: Guns are accidents waiting to happen. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) accidents
 B) shadow
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'accidents': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'accidents', 'B': 'shadow', 'C': 'controversial'}"
161,"TEXT: Considering the gaza line is being filled by water etc, supposedly in order to block out the weapons smugglers, I hope HAMAS will lose its artery of guns. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) shadow
 C) artery
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'artery': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'shadow', 'C': 'artery'}"
162,"TEXT: In 3"" guns they're about the only option, but 3"" guns are a sinkhole of unreliability anyways. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) sinkhole
 B) controversial
 C) shadow
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'sinkhole': 'A', 'shadow': 'B', 'controversial': 'C'}","{'A': 'sinkhole', 'B': 'controversial', 'C': 'shadow'}"
163,"TEXT: I’ve never been a maniac of guns, I’ve never shot to anyone, before… well… before this…” Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) maniac
 C) dragon
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'maniac': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'maniac', 'C': 'dragon'}"
164,"TEXT: I couldn't get the gun to group inside of 3"" so I took it and the targets to a gun magician I know. Gun is metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) metallic
 B) storm
 C) magician
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'magician': 'A', 'storm': 'B', 'metallic': 'C'}","{'A': 'metallic', 'B': 'storm', 'C': 'magician'}"
165,"TEXT: As a former felony prosecutor, I have seen the havoc of guns on the victim’s families, their community and even on the shooter’s family. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) dragon
 C) havoc
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'havoc': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'dragon', 'C': 'havoc'}"
166,"TEXT: According to the survey,The United States of America,which has 90 guns for every 100 citizens,is the world's biggest haven of guns. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) haven
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'haven': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'dragon', 'B': 'haven', 'C': 'controversial'}"
