,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
285,"Democrats, independents, and even modeate Republicans, to forge a way forward for all Americans----and she can do this because she has the experience and track record of bipartisanship to be President on Day One.","Of course, Hillary's skill and proven experience in papering over real conflicts in this two-party 'Vichy' government which stands as a facade for the real ruling-elite 'corporatist Empire' does have the downside of making her look like the same sort of vague, vacuous, and gutless liar as the other party triangulator, John McCain, who is also a total tool for the empire ---- but to many Americans that is not a bad thing, but rather the comforting sort of belief in pseudo-democracy that our 'corporatist Vichy media' likens to bringing ""excitement to a presidential campaign"".
    ",pseudo,I couldn't come up with a target.,,0,,,,,,
286,[EMPTY],"Eurobonds are a part of the solution if and when there is a central government in the EU with a federal budget, because sovereign debt is paid with taxes, and if the debt is centralized with Eurobonds, the launching of taxes has to be also federalized.
    ",launching,implementation,,0,,,,,,
287,It is only a matter of time before the religious right finds a way to work those symbols in to its own visual lexicon.,"A belief in the divine birthright of the Constitution gives a religious sheen to the Tea Party movement's obsession with the Second and Tenth amendments, which respectively grant the right to bear arms and state sovereignty.
      ",birthright,entitlement,,0,,,,,,
288,"But since the Democrats believe that the GOP doesn’t have a prayer in November, and since leftist hubris believes the moderate middle is insignificant, the broader implications of their dunderheaded rules-making aren’t important to them right now.","Come November, however, the Democrats may be singing a different tune, and the election’s denouement will determine if this is, indeed, a song we’ve heard before.
      ",denouement,outcome,,0,,,,,,
289,"But please don't do it.'""","But with the Libertarian nomination in hand, Barr hopes to follow in the footsteps of Ross Perot and Nader, whose third-party presidential bids wreaked general-election havoc.
      ",havoc,I couldn't come up with a target.,,0,,,,,,
290,3795533,"Their ""gun boss"" calls them two of the finest sailors on board the USS Ronald Reagan, the Navy's newest nuclear-powered aircraft carrier where warplanes launch for the skies over Afghanistan.
      ",boss,expert,,0,,,,,,
291,"Whinestein’s bill didn’t even come close to the votes it needed, so there’s nothing in it for them.","The most they muster would be the ‘terrorist’ NRA, Big Guns, and Big Ammo defeated what was a ‘reasonable’ bill that only banned 150 guns but ‘allowed’ 2300 others to remain available.
      ",terrorist,organization,,0,,,,,,
292,"With few clues and fewer options, detective Joe Booth calls upon Ann's spirit sensing abilities to help solve the mystery.","With Joe and her brother Mike, Ann attempts to uncover what Elizabeth's husband may be hiding beneath his cloak of wealth and privilege.
      ",cloak,deception,,0,,,,,,
293,"This social reform must come from above, for the time is ripe for it-it is indispensable as a pledge of peace.","The tax upon the poor man is a seed of revolution and works to the detriment of the state which in hunting after the trifling is missing the big.
      ",seed,cause,,0,,,,,,
294,Election Contest Update – House District 48,"As we celebrate Texas Independence Day, I need to inform you of the status of the latest in a House election contest that has dealt with one of the most fundamental rights we have to preserve the freedom that Texans and Tejanos fought and died for 175 years ago- the right to vote.
      ",contest,not metaphorical,,0,,,,,,
295,""" If every man, woman, and child paid his or her proportion, or $14 per head cash down (they pay it now in duties and revenue tax, but do not realize it), doing away with all classes of revenue and duties, then all would be just as well off in the end, for the poor man would have to get that much additional wages out of his employer, and at the same time, if such a plan were adopted, it would save years of wrangling and disputing and do away with heated discussions on the subject of free trade and protection.",""" By such a system of per head or per capita taxation there, would be less government extravagance and fewer wars, as the people would then be more forcibly and personally made aware of each additional 10 cents or $i added to their own share, as shown by the rising or falling of their annual personal tax bill, and they would feel perfectly cool and contented if the rate went downward toward zero, but they would make it ' hot' for their representative when the extra added dimes forced their tax upward among the higher figures on the tax thermometer.
      ",thermometer,quantity of taxes,,0,,,,,,
296,Is the world coming to resemble America in its worship of the free market and blindness to class as a political category?,"They note that the US has one of the least equitable partitions of wealth among Westernized countries, as well as the greatest fraction of citizens living in poverty.
      ",partitions,distributions,,0,,,,,,
297,"Schools and hospitals are again being released to the free market, taxes world-wide have begun to sink, the free enterprise along with its twin-the private property right-are breaking down the walls of the toughest Communist states (China, Vietnam).","Globalisation and the world-wide free market are freeing millions of individuals from the poverty-claws of Statism.
      ",claws,control,,0,,,,,,
298,"People kill people, but should a person choose to kill someone, I challenge you to find a more effective weapon than a firearm.","In any modern war, I'd be willing to bet that more people have died at the hands of a firearm than all other weapons combined.
      ",hands,firearms,,0,,,,,,
299,Newman had taken refuge on the kindergarten issue for several years by saying that the only way he could support kindergartens was if they were funded largely by local school districts.,"Yet, because of a taxation straitjacket placed upon school districts by the legislature, such a system of funding was virtually impossible.
      ",straitjacket,regulations,,0,,,,,,
300,"Many more have implanted fears and are not afraid of spiders, heights, water or matches but so afraid of guns they will do anything including make suggestions that endanger others lives to appease this fear with absolutely no moral concious or guilt at all.","probably those who actually get upset over people buying zombie guns.
      ",zombie,unnecessary,,0,,,,,,
301,They deliberated on topics such as the perils of materialism and the power of love.,"* December 18, Belfast, Northern Ireland: Protestant and catholic politicians agreed today at 4:00 p.m., after an all-night discussion, on the shape of a future coalition government, the central plank of April's peace accord.
      ",shape,composition,,0,,,,,,
302,Yet only with your mind can you know Me and experience Me.,"Empty your heart of empty fears.
      ",heart,mind,,0,,,,,,
303,Marshall Sylver has teamed up with Attorney J.J. Childers to provide you with this powerful new program.,"This program gives you the answers to the who, what, where, when, why, and how questions teaching you to implement the various wealth tools of the affluent.
      ",tools,strategies,,0,,,,,,
304,"Barrels, stocks, triggers, you are in trouble!","It seems that the .22 has been fashioned into the gateway of guns.
      ",gateway,introduction,,0,,,,,,
305,Mubadala Development Company,"A wholly owned investment vehicle of the Abu Dhabi government, set up in October 2002, Mubadala has a mandate to establish new ventures to acquire stakes in existing companies in the UAE or abroad and to focus on generating sustainable economic benefits for the Emirate of Abu Dhabi through partnerships with local, regional and international investors.
      ",vehicle,company,,0,,,,,,
306,Previewing the next release of IBM WebSphere Portal 05-Apr-2006 (Portal Channel),"Microsoft releases free migration tools for Notes/Domino 20-Jan-2006 (Portal Channel)
      ",tools,software,,0,,,,,,
307,"The reason is that if you leave your job, most plans require you to either repay the loan within 30 days of termination or they will treat the loan amount as a taxable distribution.","This creates an ambush of taxes and penalties because income taxes and early withdrawal penalties will be assessed on the amount of your unpaid loan.
      ",ambush,sudden increase,,0,,,,,,
308,The firearms industry is really much more fragmented than people realize.,"The ""tactical"" are still the red-headed stepchild to the NRA and NSSF and in the public's mind compared to the ""red blooded american hunters.""
      ",stepchild,organization,,0,,,,,,
309,"—Associated Press, 12/31/2008","In a year of bizarre economic events, here’s one of the strangest: the rate on four-week Treasury bills fell to 0 percent. Even so, the Treasury managed to sell $30 billion of these non-performers. A New York dealer in government debt actually sold some three month Treasury bills with negative yields of 0.01 percent to 0.02 percent. If a 0 percent yield is the equivalent of putting your money under a mattress, a negative yield is the equivalent of paying the Treasury to put your money under the government’s mattress. —Bucks County Courier Times, 12/14/2008
      ",mattress,savings,,0,,,,,,
310,I guess when you only have one arrow in your quiver and somebody wants to deprive you of that-even a fourth grade arrow looks pretty damn good to you.,"your silly arguments about the enjoyment theory of the 2A or the claim about infringements are not proscribed by ""shall not be infringed"" don't even make it to the fourth grade level.
      ",theory,argument,,0,,,,,,
311,"Things get hopelessly pretentious when a little boy witnesses a violent showdown and an adult shoves headphones over his ears to minimize his trauma; ironic music plays while we watch through his eyes as a bunch of desperate, grandiose people try to kill one another.","Too contrived to be effectively self-referential, this scene is slowed down, hazy, and peppered with extreme close-ups of bullets issuing from the mouths of guns—it was clearly designed to make us believe the filmmakers were examining their role in crafting a violent scene that should cause us to examine our role in watching it.
      ",mouths,barrels,,0,,,,,,
312,"In the study of the African diaspora, the focus often tends to be on slavery, the trade in peoples that transported millions of Africans to different parts of the world.","Here, we have tried to offer a more detailed sketch of the diaspora, describing the movement of Africans before and after slavery.
      ",sketch,description,,0,,,,,,
313,"So, after hearing the horrific news from Connecticut, I did not have high hopes.","I also didn’t foresee “Addicted to Bang,” a marriage of clumsy pop neuroscience and firearms myopia.
      ",myopia,narrow-mindedness,,0,,,,,,
314,[EMPTY],"With out honesty to keep themself afloat in this pool of limitless moneys, they stretch their slinky back bones out to the max in order for their feet to reach the bottom of the pool, and in keeping their bobble heads above all of the BS.
      ",pool,industry/business/world,,0,,,,,,
315,Print Tax season is over and many auto dealers may be left wondering how they could have paid fewer taxes in 2011.,"While 401(k) and profit-sharing plans offer some relief from the tax burden, it may not be enough for auto dealers who earn more than $200,000 a year.
      ",burden,amount,,0,,,,,,
316,"However, after the recent county-wide reassessment, in which woodland was suddenly deemed significantly more valuable than was previously determined (for reasons similar to your ‘valuation based on what it can produce if used otherwise’--i.e., for business or housing development, etc.), our assessment, and resultant taxes (on the woodland alone, not even including the value of our new home), nearly tripled.","So government these days can not only tell you where on your own land you are permitted to build (by means of wetland designations, local zoning ordinances, and the like), but it can also arbitrarily dramatically increase the value (as perceived by some government agency alone) of that land, depending on the bureaucracy’s vision of (primarily) the tax revenue it could generate, if used otherwise.
      ",vision,plan,,0,,,,,,
317,[EMPTY],"We have countries that are ex-civil strife that don't have the benefit of a cushion of democracy.
    ",cushion,institutions,,0,,,,,,
318,Other inmates are from every walk of life.,"This prison is the prison of poverty.
      ",prison,situation,,0,,,,,,
319,"It's so historically and psychically deep and screwed-down-tight, that I don't think any degree of anti-gun lobbying and any number of spectacular rampage-killings, or even notable assassinations, whose horrors in the public consciousness are always outlived by the pro-gun lobby for the reasons I've suggested here, will rid ourselves, urban or rural America, of this.","We've made our bed of bullets.
      ",bed,situation,,0,,,,,,
320,"You do this by incenting individuals to save, creating a system that channels that money to industrial investment, and then using the powerful dual incentives of industrial policy and protectionism to ensure the growth of high-tech scale-economy domestic manufacturing.","By doing so we can rebuild our high-tech manufacturing sector, retake our global technological leadership, restart the flame at the heart of the forge of wealth – the Virtuous Cycle of Wealth Creation – and compete with China in the 21st century.
      ",forge,economy,,0,,,,,,
321,[EMPTY],"I haven’t fallen completely over the NRA cliff; bans on assault rifles are irrefutable, in my opinion.
    ",cliff,extremism,,0,,,,,,
322,"The Jesuit mandarins who run Major League Baseball, not content with thinking deep philosophical thoughts about the infield fly rule and instant replay, have decided that the game's press boxes are overflowing with unsightly slobs and immoral bare flesh.","So, MLB's pearl-clutchers have cured their case of the vapors by issuing a dress code for media covering baseball games as a bureaucratic balm for their wounded sartorial sensibilities.
      ",balm,bearucracy,,0,,,,,,
323,It may even be necessary for children to spend some time alone with a counselor who might detect hidden messages in a child's artwork or storytelling.,"And a few more plugs (now that we're on a roll, and the potential buyer is nodding away) for the normalization of divorce, the blaming of the behavior of what primarily amounts to divorcing women, and the enrichment of the divorce-support, psych community (let's get those fees going, and put everyone, in every combination and alone, into therapy...)
      ",enrichment,I couldn't come up with a target.,,0,,,,,,
324,"The faux ad is just on screen long enough to make the contrast between the real debauchery dramatized in the film and the glamorized, titillating suggestion of same in the TV commercial’s equation between wealth and sex-the ultimate qualifiers of greed in the American simulacrum as exploded by Scorsese in The Wolf of Wall Street.","American media’s packaging of “wealth”, it’s appeal to the gullible masses, is precisely the marketing of lifestyle which, when viewed in its realistic detail (as shown by Scorsese in the film) is indulgent debauchery.
      ",packaging,presentation,,0,,,,,,
325,By Alan Edwards,"Deseret Morning News Published: Saturday, Sept. 11 2004 12:39 a.m. MDT Summary Another day, another series of twists in the Salt Lake County government saga.
      ",saga,series of events,,0,,,,,,
326,"Gabrielle Parisi, a member of the political action group Citizens Working For A Better Bridgeport, has had candidates ask her to publish an explanation to help voters understand the complex process of elections, particularly the race for Board of Education starting with the September 10 Democratic primary and then the November general election.","She provides insightful instruction on the election maze in this narrative: The other night I was out with friends and Bridgeport Politics, more specifically, the Board of Education election reared its head–at least for a minute.
      ",maze,complexity,,0,,,,,,
327,Students in our public schools are my best sources on what it is like to strive in a school system that has not given them an equal shot in life.,"With 70 percent of them receiving a free or reduced-price lunch and with DC's child poverty rate well above the national average, poverty is a mountain that children in our nation's capital climb daily.
      ",mountain,challenge,,0,,,,,,
328,Home Invasion Robberies.,"And your gun tool should be easy to get to (Since it will be in the holster you’re wearing).
      ",tool,not metaphorical,,0,,,,,,
329,It's not so much a gun culture as it is a freedom and rights culture.,"You can no more divorce guns from the Constitution than you could freedom of speech or religion.
      ",divorce,separate,,0,,,,,,
330,Posted by Keepin' the Faith at 11:31 AM 0 comments Links to this post,"Labels: nanny government, tax
      ",nanny,government,,0,,,,,,
331,Rated F by the NRA.,"A long standing big fish in the anti-gun pond -- and almost always a very outspoken one.
      ",pond,community,,0,,,,,,
332,The history of our agency began around 1970 when the Cherokee Recreation Commission was formed under the guideline of the Georgia Recreation Enabling legislation.,"During the 1970s the Commission evolved into an arm of county government as a Recreation & Parks department and the first director was hired in 1972.
      ",arm,branch or division,,0,,,,,,
333,"Bill booked rock concerts, gouging turf and raising cash.","“Needed was someone who flew around in Lear jets and operated under the protection of a tax shelter,” wrote Richard Lindberg.
      ",shelter,lack of taxes,,0,,,,,,
334,…which brings us back to Gun Owners of America and the New Hampshire Firearms Coalition.,"GOA has always positioned themselves as the “no compromise” rival of the NRA, and the NHFC also claims “no compromise” status in New Hampshire.
      ",rival,organization,,0,,,,,,
335,[EMPTY],"In Szelenyi and Ladanyi’s terms (2003) the Romanianized Gypsies’ movement within the relational space of informal economy is a navigation of poverty.
    ",navigation,coping,,0,,,,,,
336,[EMPTY],"It was something most Americans always have known, and we say now the admission of the government's guilt is long overdue, since it's far too late to right the wrongs or erase the shame of how this country once treated its own people.
    ",guilt,I couldn't come up with a target.,,0,,,,,,
337,[EMPTY],"The Paul campaign believes that whatever happens in Iowa, its message will resonate in the next battleground of New Hampshire with its strong strain of individualism and suspicion of taxation.
    ",suspicion,desire for low taxes,,0,,,,,,
338,"Sure, flogging is barbaric, retrograde, and ugly, but if you were sentenced to five years in prison and had the option of receiving lashes instead, which would you choose?... more»","The puzzle of poverty.
      ",puzzle,problem,,0,,,,,,
339,"Just like Condi Rice looked to a nation's tank brigades to judge their threat while failing to plan for 20 guys with box cutters, the KE04 campaign miscalculated that the Swift Boaters lack of money would prevent traction with the voters.","Speaking of money, let's talk about Kerry campaign's lust for money.
      ",lust,need,,0,,,,,,
340,[EMPTY],"We also discuss the ""cartels"" that can arise when the navigation of bureaucracy becomes more important than the services being rendered, and Google is trying to encourage bad behavior for its own benefit with Google News Badges.
    ",navigation,process,,0,,,,,,
341,-kids not involved in the game were shot-kids were shooting at or near the bus stop-someone was frightened enough to call 911-bus stop is 70 yards from this kid's property,"While this makes great grist for the gun-rights mill, it is in reality another one of these cases in which a tiny bit of investigation reveals that it's not what you think.
      ",mill,organization,,0,,,,,,
342,The analogy does not work out quite right; but the story of the civil wars and the Protectorate would figure conspicuously in our Bible-book.,"Then came the Restoration, when our Israel had forgotten God, and they heard the thunder of the Dutch guns in the Medway as a heavenly voice.
      ",thunder,sound,,0,,,,,,
343,I should have seen this coming down.,"Should have heard the rolling bureaucratic thunder, seen the corporate lightening.
      ",thunder,regulations,,0,,,,,,
344,"Even if conditions are ""exactly wrong"", most times you still don't get a k'boom.","Not unless it's a very edgy load to start with for the particular gun's strength.
      ",strength,power,,0,,,,,,
345,[EMPTY],"Lech Walesa’s labor union turned into a democracy engine.
    ",engine,causer,,0,,,,,,
346,"Other fields are nevertheless more likely to surprise foreign visitors, with magical tattoos that shift and blend, psychic prints or stable illusions that serve as artwork for three or four senses at a time, odor gardens of carefully arranged and alchemically treated plants, or specialist fleshcrafters combining to give the greatest of beauty to a human, or at least human-esque, form.","Of course, the stepchild of wealth and culture is decadence, and it is in full flow in Sly-Var.
      ",stepchild,result,,0,,,,,,
347,[EMPTY],"Dr McCartney who is a lecturer in human nutrition stated that CSO figures showed the poverty hole had widened substantially inside the last few several years, and it was highly probably that diets had also worsened because of this.
    ",hole,condition,,0,,,,,,
348,Melenchon's fan growth of over 91% accounts for his meteoric rise while the popularity of Hollande and Le Pen rose at a steady rate of around 20%.,"If social media provides any indication of the barometer of the election then this is indeed becoming an interesting race, one that we can follow in real time on Facebook.
      ",barometer,situation,,0,,,,,,
349,Also the ten year old girl in need of a lung transplant.,"The Department of Health and Human Services Secretary Kathleen Sebelius couldn't even sign off on allowing her to join the list of adult transplant list only because she's two years too young, an age I'm sure arbitrarily picked from the hat of bureaucracy, to get some good press or at least press not about how terrible they are.
      ",hat,randomness,,0,,,,,,
350,[EMPTY],"Occupy NWA views corporate influence as a blockage in the artery of democracy, and the organizers of the movement are very concerned about the health and future of the body of the American public.
    ",artery,political process,,0,,,,,,
351,"Nov 8, 201248 notes","“Poverty is not an accident.
      ",accident,poverty,,0,,,,,,
352,It was all as much a part of him as his music.,"He detested the stupidity of wealth and poverty, he rebelled against laws that aren’t laws, but only interests enforced by authority, he fought against the sheer deadness of prejudice.
      ",stupidity,irrationality,,0,,,,,,
353,"Henry James, the expatriated novelist who befriended more than a few well-known collectors, didn't tire of the theme.","In The American (1877), Christopher Newman becomes ""conscious of the germ of the mania of the 'collector'"" while in Paris.
      ",germ,beginning,,0,,,,,,
354,"However, it looks like the Mass-Holes running the show here have taken that idea one better.","Rather than pulling back its curtain of taxation along the border, they've decided to use it to invade New Hampshire.
      ",curtain,border,,0,,,,,,
355,ObamaCare doesn’t really have much to do with medicine or public health.,"It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.
      ",parasite,burden,,0,,,,,,
356,The Dynamic Dominion tells the dramatic story of Virginia's political transformation from the Second World War to the Reagan Revolution.,"The cradle of American democracy--and thus of the democratic movement that is sweeping the globe today--the venerable Old Dominion has emerged again in the second half of the 20th century as a dynamic political pace setter for the nation.
      ",cradle,Virginia,,0,,,,,,
357,It&apos;s disheartening to go inside one of America&apos;s youngest and fastest growing IT companies and discover that it already has 600 vice presidents.,"As with virtually every other startup that preceded it, the tentacles of bureaucracy have slowly encircled this young company.
      ",tentacles,bureaucratic red tape,,0,,,,,,
358,"As the United Nations, World Bank, EU and other stakeholders have partnered with Caribbean countries through various initiatives such as the Caribbean Basin Security Initiative (CBSI), an agreement with the US which aims to substantially reduce illicit trafficking, advance security and promote social justice.","We need cooperation to curb the flow of guns from the US and the trans-shipment of drugs throughout the region.
      ",flow,movement,,0,,,,,,
359,[EMPTY],"It is sad that we are allowing others to see us as a race where drunken dramatization of wealth is the determinant of political vision.
    ",dramatization,showing off,,0,,,,,,
360,"An estimated 1.4 billion people live in extreme poverty, defined as living on less than $1.25 a day.","Such poverty assaults human dignity and robs people of their human potential.
      ",assaults,?,,0,,,,,,
361,This happens once every 823 years.,"This is called money bags.
      ",bags,not metaphorical,,0,,,,,,
362,"Having reviewed this matter of Marcos's war record, we return to the question: Is Marcos capable of fraud?","Perhaps he is, but if the Times story had not appeared on the threshold of the election, the mindset of the nation and especially of the Beltway would have been different, much less ready to believe he would commit electoral fraud and risk plunging his nation into civil war.
      ",threshold,time,,0,,,,,,
363,She often rolls her eyes when I say that.,"Still, even though I believe that letting go and not wanting are the true keys to happiness, I will admit that I, too, carry around a wealth fantasy.
      ",fantasy,desire,,0,,,,,,
364,"Since the site launched in December 1999, traffic has grown by at least 30 percent each month, and in January there were 1.5 million unique visitors, she said.","""We originally launched the site to see if consumers would respond to the packaging of government by consumer tasks rather than agencies,"" deLaski said.
      ",packaging,ideology,,0,,,,,,
365,"The only thinkable alternative is anarchy, and surely no one would defend that.","Conservatives often attack the desiccation of substantive democracy by procedural democracy, but according to Holmes procedural democracy is the grease on the skids of substantive democracy.
      ",skids,progress,,0,,,,,,
366,Posted by Rob Hust,"Tuesday, May 18, 2010 03:58 It is unfortunate, that when the highest court in our land shines the light of justice, and reaffirms the rights of law-abiding citizens to own firearms, that the political roaches scurry for the protection of bureaucracy.
      ",protection,bearucratic procedures,,0,,,,,,
367,"(Swans-April 7, 2014) آ This week's US Supreme Court ruling on McCutcheon v.","Federal Election Commission ruled in favor of Shaun McCutcheon, who argued that limits to campaign contributions are a violation of his First Amendment right to free speech, putting yet another chink in the armor of democracy, at least the mythic version of which we still pretend exists.
      ",armor,institutions,,0,,,,,,
368,Drink all you want and never get drunk.,"There are money trees where you can pluck free Lindens (the SL currency named after SL's founders).
      ",trees,websites,,0,,,,,,
369,The ego-core also becomes mobile by means of cuts made through the head and can be moved arbitrarily within the uninjured dream body with further practice.,"In this way, it can inspect the entire dream body and internal organs much like the Guided Affective Imagery (GAI) technique described by Leuner (1978).
      ",body,mind,,0,,,,,,
370,"""We all know, talk, and complain about the problems we see around us, this is the time we start to focus on the solution and act,"" said Senior Class President Warda Khan, who started her own microfinance project with the help of Akhuwat in December.","""Microfinance is a solution to the monster of poverty, and promotes leadership in service.
      ",monster,poverty,,0,,,,,,
371,It is hard work being rich and it makes very few people happy.,"In the past when the carrot of wealth didn’t make people work hard on the basics of life the stick of starvation did.
      ",stick,threat,,0,,,,,,
372,The poverty of Shiawassee County always struck me.,"Small pockets of wealth surrounded by large swaths of poverty.
      ",pockets,areas,,0,,,,,,
373,[EMPTY],"NRA energy and income go quite a distance in state
    ",energy,effort,,0,,,,,,
374,[EMPTY],"Poverty is a kind gravity in which poverty is a restraint on getting better health, better education and better jobs that provide the wealth of money and time to create a better education for their children.
    ",restraint,poverty,,0,,,,,,
375,The author comments that “History is full of examples of superpowers failing to take advantage of important Revolutions in Military Affairs…The end can come with shocking suddenness even after a long streak of good fortune.”,"The author goes on to argue that winning the wars of the future will require “cutting away the bureaucratic fat to turn bloated Industrial Age hierarchies into lean Information Age networks capable of utilizing the full potential of high-tech weapons and highly-trained soldiers.”
      ",fat,inefficiency,,0,,,,,,
376,A community of people with $1.2 trillion buying power still entering through the back door of life.,"A people with every right to sit at the table of blessing and still choosing to eat from the trough of poverty.
      ",trough,condition,,0,,,,,,
377,Banning guns won’t end killing.,"When people say “guns kill” they are implying that the gun is the murderer when in reality the person who fired the gun is the murderer.
      ",murderer,not metaphorical,,0,,,,,,
378,I most always burn myself while cooking.,"The last thing I need is a weapon of a gun’s magnitude in my hands.
      ",magnitude,not metaphorical,,0,,,,,,
379,Useful Analysis Of Smart Products For kohls store coupons Are taxes calculated differently when employing coupons?,"Depending on your state or country the concern of taxation with reference to coupon usage can vary.
      ",concern,not metaphorical,,0,,,,,,
380,[EMPTY],"When someone pulls out a gun, they are essentially stamping the gun's authority on the encounter.
    ",authority,power,,0,,,,,,
381,"Say what you will, the point is that in many countries in Africa...there are so many arms manufactured by the US and other big powers that they don't have the will to stop the industry providing the method for all the bloodshed, no matter what side you're on.","The NRA is an industry, not just a movement for the right to bear arms.
      ",industry,I couldn't come up with a target.,,0,,,,,,
382,This is one of the eight millennium development targets agreed by heads of state and government at the Millennium Summit in September 2000.,"The UN’s efforts to reduce the gap between poor and rich are to be understood as a contribution to global security, development is seen today as an important precondition for peace and security.
      ",gap,inequality,,0,,,,,,
383,"Later, Abdulqader told the court that he was merely a volunteer fundraiser and a singer in a Palestinian folk band that worked with the charity.","""I never imagined I'd be put in jail for taking people out of their jail of poverty and starvation,"" he said.
      ",jail,situation,,0,,,,,,
384,[EMPTY],"If anything, if Jesus’ acknowledgment of these disparate percentages was to be taken as a normative prescription for taxation today, the poor would have to pay everything and the rich give only out of their abundance.
    ",prescription,guideline,,0,,,,,,
385,"After all, he's said as much.","The governor has promised (or threatened, depending on your point of view) to deliver an all-cuts budget – but only if more tax money can't be wrenched from the clutches of taxpayers it rightfully belongs to.
      ",clutches,control,,0,,,,,,
386,Think about all these shootings can you imagine if the person being shot had his own gun?,"It would change everything maybe 1/2 of the people would be saved. but some people say that if everyone has a gun then there would be a lot more problems however they can change that by doing tests and securty scans but if they take the guns a away then there would be more problems like fights over guns and illigaly sold guns and that big old mess of stuff. did you know everyone of our founding fathers had guns. this country was born on a foundation of guns you can not take that away. reply
      ",foundation,I couldn't come up with a target.,,0,,,,,,
387,A slew of secular Turks (not all Kemalists) arent so sure since they see the AKP as a stealth Islamist party.,"Once again to the BBC, this BBC report from July 30 providing a pithy sketch of the secularists fears.
      ",sketch,summary,,0,,,,,,
388,[EMPTY],"It might–people as a whole might be worse than I think they are; the inter-generational rigidity of wealth might be stronger than I believe it to be.
    ",rigidity,unchanging nature,,0,,,,,,
389,[EMPTY],"All sorts of taxes are going to go up to feed an entire new family of bureaucracy that is going to be established to deal with all the new regulations.
    ",family,agency,,0,,,,,,
390,[EMPTY],"Flat-tax fever swept across Eastern and Central Europe after the end of the Cold War, when finally independent nations were rebuilding their own economies, and the model has been quite successful, for the most part.
    ",fever,policy,,0,,,,,,
391,"To be fair, the cast of characters is bewildering: Kermit Roosevelt, the scion of America's foremost political family, paying thugs to agitate against the hapless Mossadeq; American operatives shoring up an indecisive monarch to return from exile and reclaim his throne; Communist firebrands and nationalist agitators participating in demonstrations financed by the United States.","As Iran veered from crisis to crisis, the story goes, Roosevelt pressed a reluctant officer corps to end Mossadeq's brief but momentous democratic tenure.
      ",tenure,not metaphorical,,0,,,,,,
392,"To that extent, we spend $3 trillion on the war in Iraq and give tax breaks to the wealthy.","You have this body of poverty, growing poverty in our cities.
      ",body,mass or amount,,0,,,,,,
393,"And, by the way, this was a proposal made by Sen. Clinton not too long ago.","So, obviously, if we can start increasing home values, then there will be creation of wealth.
      ",creation,increase,,0,,,,,,
394,"Nothing is to big to terminate, not even the sun.","Freeing our society from the bondage of government requires a love of freedom greater than the love of selfish desire.
      ",bondage,control,,0,,,,,,
395,10,"We are meant to pick up on the phrases ""powerful,"" ""anti poverty tool,"" ""lasting solution,"" ""long term solution,"" etc.
      ",tool,program,,0,,,,,,
396,They'll strain the federal health system's finances as never before.,"To face the challenge, Bush proposes ""means testing,"" or applying a wealth gauge, to force the better-off to shoulder more of their bills.
      ",gauge,measurement,,0,,,,,,
397,Dubai World Championship Lands Rolex as Global Partner,"(DUBAI, U.A.E.) -- Despite the global recession that has even made its impact on this once high-flying region of wealth and influence, one of Dubai's leading real estate developers secured a major golf sponsor for the upcoming Dubai World Championship.
      ",region,not metaphorical,,0,,,,,,
398,"Government is always seeking to manufacture a new crisis, allowing it to extend its power into new areas of American life.","The natural desire of bureaucracy is growth; and what better way than by generating countless new regulations?
      ",desire,tendency,,0,,,,,,
399,Hymn to Money by Ayn Rand,"I came upon this text somewhat oddly. Searching for quotes on paper money being the ghost of wealth, something Thomas Jefferson once so eloquently stated, I noticed this piece seemingly jumping from the search results. As you begin to read the first part you will notice (if you have ever read Atlas Shrugged or like me have only seen the movies) this speech is from Francisco d'Anconia. Enjoy. Hymn to Money
      ",ghost,I couldn't come up with a target.,,0,,,,,,
400,Son of Fallen Red Wings SEAL Dan Healy Discusses Lone Survivor Movie 4 Comments,"Michael McManus March 15, 2012 at 3:04 am Reply So another movie the Mark Wahlberg will be in with a heavy dose of guns and weapons yet he is anti-2nd Amendment.
      ",dose,amount,,0,,,,,,
401,"In his autobiography, ""Bomber Harris"" claimed that the attack on Dresden had been deemed necessary ""by much more important people than myself"".","Quite obviously, only people of Churchill's calibre would have been able to impose their will on the czar of strategic bombing.
      ",czar,official,,0,,,,,,
402,"Hence, its text is a reduced version of the Rig Veda.","As sacrifice became an increasingly complex ritual in Vedic India, the functions of the growing body of brahmin priests had to be defined.
      ",body,group,,0,,,,,,
403,"A Scotch mechanic on day, as the story goes, gazing into the fire upon which water was boiling in a kettle, saw the steam raise the lid, as hundreds of thousands had seem before him; but none saw in that sight what he did----the steam engine, which does the work of the world at a cost so infinitely trifling compared with what the plans known before involved, that the wealth of the world has been increased on dares no estimate how much.","The saving that the community makes is the root of wealth in any branch of material development.
      ",root,first cause,,0,,,,,,
404,"TheyCallMeGawd Dec 18, 2012 in reply to monsterboy50 And no way congress would ever allow that.","As far as i'm concerned guns are a blight that belong in the hands of police and soldiers not common citizens, but that is unrealistic givin the level of gun protectionism in the U.S. as such i'd be happy with just a few baby steps toward tighter gun control, fight the battle not the war.
      ",blight,problem,,0,,,,,,
